date_id,Biomass,Dam Hydro,Geothermal,Hard Coal,Lignite,Natural Gas,Non-renewable waste,Nuclear,Oil,Other fossil fuel,Other renewables,Pumped storage generation,Run-of-River Hydro,Solar,Wind offshore,Wind onshore
2022-10-01,111341.26,2642.45,499.43999999999994,57079.66,275478.73,121219.8,29811.8,96253.65,738.72,13694.900000000001,7377.75,29876.75,47002.729999999996,100605.41,131186.7,623921.96
2022-10-02,111900.65,3113.68,499.43999999999994,70306.15,246817.6,117817.5,30387.66,94214.4,738.72,13809.560000000001,7338.79,28370.25,49139.39,122975.04,145290.34,444714.07
2022-10-03,112915.5,6312.17,499.43999999999994,143763.22,262323.79,138108.48,30097.420000000002,96686.39,738.72,13295.99,7340.39,40097.75,46000.43,125339.03,61199.33,278501.4
2022-10-04,113024.56,6284.09,499.43999999999994,172671.86000000002,307981.87,140326.76,30514.54,96422.8,854.1600000000001,10720.24,7351.51,39747.0,46000.43,122645.53,108323.51,209279.16
2022-10-05,112261.71,4939.64,499.43999999999994,98730.48,256739.06,148281.32,30372.309999999998,95046.29,738.72,10949.66,7355.5,32522.0,50595.79,128060.17,129380.23,515989.7
2022-10-06,112078.86,5624.0199999999995,499.43999999999994,139289.63,286983.71,150009.82,30794.4,93606.34,738.72,11197.98,7338.0,43198.75,52282.83,127331.64,108163.82,406118.97000000003
2022-10-07,112943.87,5864.93,499.43999999999994,168252.32,306988.96,141691.27,31040.03,96587.69,2469.36,11615.230000000001,7360.26,39943.25,51609.38,126890.77,113361.91,286029.58
2022-10-08,113691.51,4628.22,499.43999999999994,114182.18,316174.26,144392.05,31247.99,96734.83,738.72,11535.7,7356.29,28404.5,48614.12,124031.19,109105.84,331991.13
2022-10-09,111976.19,3130.43,499.43999999999994,78424.96,314402.61,141187.46,27765.2,97050.07,738.72,11528.49,7387.28,23204.0,45102.52,126770.31,66003.22,223610.13
2022-10-10,110878.56,5451.2,499.43999999999994,178288.8,328756.43,167039.45,29038.4,96892.73,738.72,11682.220000000001,7373.78,32840.75,43886.68,123587.64,111936.26,307131.98
2022-10-11,110899.19,5128.18,499.43999999999994,220392.21,334537.69,252725.91999999998,25143.88,96796.79,10595.43,11542.08,7358.67,34226.25,44193.3,123183.26,57777.17,108233.53
2022-10-12,110977.87,5948.09,499.43999999999994,246612.05,324565.01,267577.09,25195.0,96782.28,738.72,11583.45,7364.25,33545.25,45778.71,123005.63,42773.14,72528.98
2022-10-13,110706.31,5681.4800000000005,499.43999999999994,239908.69,342962.08999999997,274808.03,25224.58,96665.87,762.78,11688.58,7359.46,37436.5,44693.59,115646.66,39876.8,134822.77
2022-10-14,113057.08,6100.66,499.43999999999994,200121.94,353688.3,257290.79,24676.82,96546.47,840.7,11637.52,7341.97,30304.75,47336.04,113353.23,32219.02,137308.09
2022-10-15,113483.91,2282.46,499.43999999999994,89642.37,316981.13,160904.86,23408.6,96091.31,738.72,11835.1,7338.0,18307.5,47353.81,108172.31,79279.06,273774.82
2022-10-16,111234.23999999999,1567.27,499.43999999999994,80217.82,280889.27,162055.04,22520.23,95603.38,738.72,11707.7,7338.0,25462.0,42169.19,120783.58,90574.06,276183.79
2022-10-17,110357.36,3930.14,499.43999999999994,134986.54,322077.96,222397.23,23678.1,95066.03,772.39,11832.69,7348.33,31878.25,38092.29,121687.84999999999,95067.14,282843.6
2022-10-18,113183.16,3887.02,499.43999999999994,205671.95,294332.44,285961.88,24105.94,96152.28,1146.63,11582.66,7361.05,35472.0,39039.46,116981.88,89296.49,134765.39
