date_id,Biomass,Dam Hydro,Geothermal,Hard Coal,Lignite,Natural Gas,Non-renewable waste,Nuclear,Oil,Other fossil fuel,Other renewables,Pumped storage generation,Run-of-River Hydro,Solar,Wind offshore,Wind onshore
2022-10-31,3553858.54,125948.5,15482.64,3551530.82,9321838.59,6107225.68,878499.52,2939373.27,42215.590000000004,383334.08,231834.23,943258.0,1402761.6,3649491.21,2487456.64,8488928.12
2022-11-30,3600449.42,97118.255,14983.199999999999,5740548.86,10028819.14,6141959.23,844591.005,2834561.45,118246.57,560191.4,283259.8,963715.33,1192921.76,1530691.04,2844502.75,10021119.65
2022-12-31,3725417.6,77705.57,15485.609999999999,6953884.17,10538364.62,9021631.4,879711.96,2709428.65,225903.43,721969.76,332971.28,933445.0,1178275.03,603530.05,2706822.06,9265211.55
