date_id,renewable_MWh,non_renewable_MWh,total_MWh,renewable_%,non_renewable_%
2022-10-31,20899019.48,23224017.549999997,44123037.03,47.365324072752294,52.63467592724769
2022-11-30,20548761.205000002,26268917.655,46817678.86,43.891029425972704,56.1089705740273
2022-12-31,18838863.75,31050893.99,49889757.74,37.760984625699244,62.23901537430075
